text,label,true_label,predicted_label,negative_probability,neutral_probability,positive_probability,confidence,correct
future is for UBI,1,Neutral,Positive,0.0017508147,0.07114823,0.92710096,0.92710096,False
ICT serves death penalty to Idris for crimes against humanity,1,Neutral,Negative,0.9832787,0.0156220365,0.0010992765,0.9832787,False
@USER @USER @USER @USER @USER @USER Ever notice cities with the most niggers have gun control?,1,Neutral,Negative,0.96887827,0.029858895,0.0012629187,0.96887827,False
"@USER @USER your ""source"" amounted to the Monarchy of Qatar, which owns the network and sponsors Terrorism by #Hamas",1,Neutral,Negative,0.98869425,0.010584515,0.0007211709,0.98869425,False
.@USER @USER - .@USER makes a video apologizing for making horrible videos,1,Neutral,Negative,0.99443936,0.004628888,0.00093178824,0.99443936,False
#Fiat #money is fine- governments and banks are the problem,0,Negative,Neutral,0.06879229,0.75251347,0.17869422,0.75251347,False
Ashley Graham Good Morning America in New York City #AshleyGraham,1,Neutral,Positive,0.0009303474,0.4719887,0.527081,0.527081,False
Every Social Media user must take #Cybersecurity seriously.#SocialMedia #Network #Security #hacking,1,Neutral,Negative,0.7015387,0.281041,0.017420245,0.7015387,False
"L #ZacEfron #Fashion ZAC EFRON CHARLIE ST CLOUD BLU RAY IN ORIGINAL CASE, MINT CONDITION!! #Actor #BestSeller",1,Neutral,Positive,0.0013840456,0.034441642,0.96417433,0.96417433,False
They actually weren't too keen on a Black Friday sale because they're white supremacists.,1,Neutral,Negative,0.99371356,0.005443042,0.0008434546,0.99371356,False
@USER You might want to try Google earth VR on a HTC Vive. perspective shifting view of the world.,1,Neutral,Positive,0.0018149605,0.4391021,0.5590829,0.5590829,False
"Down with science #TheResistance #draintheswampMyron Ebell, Climate Contrarian Leading Trump's EPA Transition",1,Neutral,Negative,0.98887116,0.010047324,0.0010814316,0.98887116,False
we've lost a lot of blood so donate yours lmaooo #ScreamQueens,1,Neutral,Negative,0.78409714,0.20042355,0.015479395,0.78409714,False
I'm definitely too dumb for Westworld lol,1,Neutral,Negative,0.98842585,0.00946079,0.0021133556,0.98842585,False
@USER @USER Let us give thanks to recounts and the end of the alt-right Nazi's...,0,Negative,Neutral,0.14105956,0.76536465,0.09357571,0.76536465,False
"But why should we be employing medical people from a different country - where are our own medical staff, why...",1,Neutral,Negative,0.8562686,0.14185627,0.001875137,0.8562686,False
Three years of Midnight Memories? My mind is blown and my heart hurts. #favoritealbum #onedirection #timeflies…,1,Neutral,Negative,0.8134051,0.14860025,0.037994687,0.8134051,False
The Bill Clinton and Barack Obama Legacy. Japan lives in fear of crazy regime in North Korea,1,Neutral,Negative,0.9722235,0.026008133,0.0017683905,0.9722235,False
Euthanasia spirals out of control as Netherlands allows euthanasia for alcoholics via @USER,1,Neutral,Negative,0.9941825,0.0049864883,0.00083102984,0.9941825,False
"FRANCE'S FRONT NATIONAL MARINE LE PEN: ""ITALIANS HAVE DISOWNED THE EU AND RENZI.""",1,Neutral,Negative,0.9241079,0.07324938,0.0026426916,0.9241079,False
"War on Poor With Trump and Ryan in control, antipoverty programs Head Start, food stamps, and Medicaid imperiled.",1,Neutral,Negative,0.98752606,0.011468837,0.0010051562,0.98752606,False
"@USER @USER @USER @USER In June, I cut off Fox altogether! Dana, Juan, and Megyn all bat for the other team.",0,Negative,Neutral,0.08349785,0.8878401,0.028662115,0.8878401,False
"Renzi Resigns Following Crushing Referendum Defeat: Beppe Grillo, Marine le Pen, Matteo Salvina Tweets #Bitcoin #B…",1,Neutral,Negative,0.62368274,0.36991143,0.006405777,0.62368274,False
Did the self proclaimed petty queen block me?!?! LMAO #winning,0,Negative,Positive,0.11740657,0.32604498,0.5565484,0.5565484,False
@USER is there a special way you could sign my Kindle version of your book? It's the one downfall of the e-book empire,1,Neutral,Negative,0.98400754,0.014782906,0.0012096349,0.98400754,False
the real questions @USER @USER - serious question: why are joe biden and melania trump memes,1,Neutral,Negative,0.62979984,0.3643348,0.0058654128,0.62979984,False
.@USER Sorry? You're countering the possible death of babies after #homeopathy with an article about how sales are increasing?,1,Neutral,Negative,0.9217656,0.07540534,0.002829013,0.9217656,False
"First CHAVEZ, Now FIDEL, Next...NICOLAS MADURO!!!",1,Neutral,Positive,0.0008271901,0.07284725,0.92632556,0.92632556,False
@USER I’d sign off on it - if we must be self defeating. Bolton good choice for Trump-style cabinet. @USER @USER,1,Neutral,Positive,0.017501336,0.18496703,0.7975316,0.7975316,False
I hope nobody tells him that TPP is designed for the benefit of US big business.,1,Neutral,Negative,0.97889733,0.019657351,0.0014452043,0.97889733,False
@USER Could CA’s illegal voter registration drive torpedo Hillary’s carefully laid plans 4 victory?,1,Neutral,Negative,0.90484744,0.09249884,0.002653699,0.90484744,False
The Evelyn McCPeters Art Journal is out! Stories via @USER #thanksgiving #nbawards,2,Positive,Neutral,0.000768614,0.6682291,0.33100227,0.6682291,False
Time to celebrate for Indian Liberals?,0,Negative,Positive,0.0019031189,0.040799346,0.95729756,0.95729756,False
#GilmoreGirlsTop4 4. Sookie3. Richard2. Emily1. The Dog Paul Anka,2,Positive,Neutral,0.0010798395,0.980142,0.018778194,0.980142,False
"A @USER fan PLEASE buy these tix from me for the game on Friday. They're great seats, and I made the mistake of thinking it was in ATL",1,Neutral,Positive,0.0022293383,0.021782555,0.9759881,0.9759881,False
‘Macy’s Thanksgiving Day Parade’ Scores Highest Ratings in 13 Years,1,Neutral,Positive,0.0013372558,0.008784525,0.9898782,0.9898782,False
Liam 😍🔥 #LiamPayne #onedirection @USER @USER @USER,1,Neutral,Positive,0.000843473,0.046915915,0.95224065,0.95224065,False
ICYMI: Unbiased Review: Rancho Luna Maduro Robusto - a solid value #cigar!#cigarlife…,1,Neutral,Positive,0.0022010847,0.01560151,0.9821974,0.9821974,False
@USER He always said he wanted to repeal Obamacare I don't get why 20 million of his voters might have went against best interest. 🙄,1,Neutral,Negative,0.9806985,0.016920913,0.0023804805,0.9806985,False
#Spurs #GoSpursGo 2008 Fleer #116 Tim Duncan PSA 10 Gem Mint Low POP 4 #TimDuncan #NBA,2,Positive,Neutral,0.0008468116,0.95168066,0.04747253,0.95168066,False
"#Taiz East Front, flares upSmoke rises from Rep Palace reception yards.Heavy fire exchange heard in the precincts.#YemenSocial Media",1,Neutral,Negative,0.9480526,0.050631598,0.0013158878,0.9480526,False
"@USER Michael Moore must be the biggest Bronotsaurus; big, fat & lazy!!",0,Negative,Neutral,0.096020475,0.53437865,0.36960086,0.53437865,False
@USER @USER @USER Founders apparently were wise enough to see the abortion that SF has become,1,Neutral,Negative,0.8428006,0.15239929,0.0048000426,0.8428006,False
"@USER @USER lol, yea I'll take a republican president for the rest of my life!!! Dems will never win again, Islam = terror",1,Neutral,Negative,0.6568442,0.22175716,0.12139863,0.6568442,False
DOPing Newz LIVE FEEDS - Watch the #Infowars Nightly News! #MAGA #Deplorables,0,Negative,Neutral,0.0033754648,0.89720446,0.09942,0.89720446,False
🔥 EMERGENCY STATE DECLARED IN #HAIFA. #HAMAS PRAISE FOR MORE FIRES. HEAVY RETALIATION AND SCALATION TO A FULL OPEN-WAR WITH #GAZA EXPECTED,0,Negative,Positive,0.007696509,0.13514847,0.8571551,0.8571551,False
From #CristianoRonaldo to #LeBronJames - Top 15 most-followed athletes on #Instagram,1,Neutral,Positive,0.0010463798,0.04132663,0.95762694,0.95762694,False
Kim Fatty The Third will be pleased to know we've not been banned from nick naming him in the UK.,0,Negative,Positive,0.00866923,0.13933219,0.8519985,0.8519985,False
@USER @USER number one #Uber user complaint: Getting Grabbed. Can't make this stuff up! 😜,1,Neutral,Negative,0.9905167,0.007694512,0.0017887742,0.9905167,False
No More Trump Protest??,1,Neutral,Negative,0.96621877,0.03251714,0.0012641535,0.96621877,False
@USER @USER Don't pay #cash. They will use it for #uber or #Prada,1,Neutral,Negative,0.90822905,0.08815796,0.0036129402,0.90822905,False
Our Cubs are here .. please help us with 1GB diapers .. theTunnelBear Thnx You,1,Neutral,Positive,0.0009936633,0.045236405,0.95377,0.95377,False
@USER Tell Michael Moore for his next doc. :),1,Neutral,Positive,0.00073413475,0.10895908,0.89030683,0.89030683,False
Muhammad Ali never got put on the side lines Colon kapernick you ride the bench like a pregnant woman...you can never be Ali..,1,Neutral,Negative,0.9322992,0.0647711,0.0029296756,0.9322992,False
Dear Angels #Angels #TrumpArmy #Anonymous Anonymous #TPP TPP Trump Pence #3X @USER Thank you via @USER,1,Neutral,Positive,0.002168977,0.44788447,0.5499465,0.5499465,False
"Barcelona could face disciplinary action, after a section of vile fans chanted homophobic remarks at Cristiano Rona…",1,Neutral,Negative,0.992979,0.006153299,0.000867676,0.992979,False
@USER pls show support for Jill Stein's recount voter fraud and voting suppression. The World needs to know that this was fair,1,Neutral,Negative,0.6479117,0.3398185,0.012269744,0.6479117,False
"Say what you will about Obama's failings, but the contrast between an admin that cares about govt and one that does not could not be clearer",1,Neutral,Negative,0.8235024,0.16639303,0.010104553,0.8235024,False
"If you support this, history will remember you exactly as you are- Deplorables & Irredeemables. He'll get you, too.",0,Negative,Positive,0.0017582949,0.037548676,0.960693,0.960693,False
you did have a valentines last year tho . 😕🤔 but that's cool too,1,Neutral,Positive,0.0015231685,0.004747754,0.9937291,0.9937291,False
So. Many. Plot twists. 😩😭😭😭😭 #Westworld #WestworldFinale,0,Negative,Positive,0.0028921615,0.021566296,0.9755416,0.9755416,False
Apart of finally apreciating mayo and Bob dylan. All on moderation of course,1,Neutral,Positive,0.004518572,0.18452448,0.810957,0.810957,False
"When you can't beat them, join them. #Microsoft joins the #Linux foundation. True![URL]",1,Neutral,Positive,0.0016292877,0.041057173,0.95731354,0.95731354,False
Messi at Adidas event and presenting his new boots yesterday. #fcblive,1,Neutral,Positive,0.00088012405,0.13564298,0.8634769,0.8634769,False
Liberals who think Castro was coolLook no further than the Cubans rejoicing in Miami They know Cuba,0,Negative,Neutral,0.24504872,0.7142166,0.040734738,0.7142166,False
I'm still proud for voting for Barack Obama...both times! Eat a dick if you have a issue with it. Be advised. #ThankYouObama,1,Neutral,Positive,0.10762503,0.06942778,0.8229472,0.8229472,False
You were better than my wildest dreams but I'm still not happy.. Kate to Toby. Poor Toby. 😢#ThisIsUs,1,Neutral,Negative,0.9913538,0.0073594684,0.0012866913,0.9913538,False
The Bad Hombres #TrumpInauguralBands,1,Neutral,Negative,0.99423707,0.004870698,0.0008922756,0.99423707,False
@USER @USER @USER @USER @USER don't be naive. Without photo ID anybody can use voter registration to vote.,1,Neutral,Negative,0.9360963,0.060735475,0.0031682393,0.9360963,False
we need a Fidel Castro in Kenya to gear up a revolution against a corrupt regime and have better health reforms #DoctorsStrike .,2,Positive,Neutral,0.068501934,0.73155034,0.19994774,0.73155034,False
"""The alleged cyberattack came the same day that Ukrainian President Petro Poroshenko met with EU leaders for a summ…",1,Neutral,Negative,0.7244006,0.27281293,0.0027865542,0.7244006,False
"@USER @USER speeds in an alley near Bay / queens quay, almost hits me, then driver gives me a finger #greatservice #uber",0,Negative,Positive,0.003673959,0.03762981,0.9586962,0.9586962,False
Ashley Graham On Vogue UK Magazine cover #losewieghtnow #lose fat #lose inches #feel good,1,Neutral,Positive,0.0014005289,0.05221165,0.94638777,0.94638777,False
"Time Perfect for #Geotechnical #Engineers to #Immigrate to #Australia, #Canada[URL]",1,Neutral,Positive,0.0013533074,0.023705253,0.9749415,0.9749415,False
Label scan for Bob Dylan's 16th highest charting single Tonight I'll Be Staying Here With You from 1969.,1,Neutral,Positive,0.0009841701,0.2447731,0.7542428,0.7542428,False
@USER in light of the voter suppression & the corrupt conflict of interest U have to vote @USER,1,Neutral,Negative,0.9859081,0.013159288,0.00093261985,0.9859081,False
"@USER @USER Katie, don't worry about the Duke/Grayson Allen talk. He will trip people all year and be suspended by Feb.",1,Neutral,Negative,0.737774,0.25441366,0.0078122835,0.737774,False
@USER The majority of the deplorables that voted for Trump Dumb,1,Neutral,Negative,0.99282724,0.006252782,0.00091997196,0.99282724,False
Yep arrogance and the Guardian writes a truth.Hooray!,1,Neutral,Positive,0.15968852,0.35406846,0.48624307,0.48624307,False
I know I'm late af but is #5SOS like the new #OneDirection or something,2,Positive,Neutral,0.011303719,0.96936876,0.019327551,0.96936876,False
"""Conservatives"" not being very conservative if they think 'written agreements' overrides the Constitution.#AusPol",1,Neutral,Negative,0.7704821,0.2257575,0.0037603297,0.7704821,False
Civilian deaths in drone strikes amount to war crimes: Amnesty,1,Neutral,Negative,0.9922637,0.006901966,0.00083437725,0.9922637,False
#Iraq #Mosul #Civilians_fleeing Mosul caught under fire[URL] #mosuloffensive #journalism @USER @USER @USER,1,Neutral,Negative,0.9897536,0.009421158,0.00082518446,0.9897536,False
@USER @USER Diversify--it's what to do to protect investment money. Exclusive support of fossil fuels puts energy eggs in one basket.,1,Neutral,Negative,0.6533379,0.33780122,0.008860837,0.6533379,False
Cristiano Ronaldo Shortlisted For FIFA's 2016 Best Men's Player Award #cristiano #ronaldo #shortlisted #player……,1,Neutral,Positive,0.0011053446,0.080185376,0.91870934,0.91870934,False
"@USER Medicare for All, a real jobs program, tuition-free public college, ending the drug war. These are non-negotiable.",1,Neutral,Positive,0.042157326,0.23644052,0.7214021,0.7214021,False
@USER @USER yeah they found it in the files of the PS3 version,2,Positive,Neutral,0.0028447935,0.92625654,0.0708986,0.92625654,False
Trump Wins Bad Hombres Award #spoofs,1,Neutral,Negative,0.7752282,0.200765,0.024006804,0.7752282,False
#Aleppo : Opposition have taken 25 Iranians prisoner including a high-ranking officer.,1,Neutral,Negative,0.9895951,0.009739374,0.0006654318,0.9895951,False
#NorwoodUJIABirthright #Limiteless16 #Israel tour. #ShabbatShalom from the magical city of #Jerusalem,2,Positive,Neutral,0.0010135361,0.7689645,0.2300219,0.7689645,False
"Hey, democrats... the popular vote doesn't make Hillary president. That's what the electoral college system is for.",1,Neutral,Negative,0.5856383,0.39457044,0.01979131,0.5856383,False
"if humanity mostly switched to vegetarianism would domestic cattle basically go extinct, or would a remnant number be sold as pets?..",1,Neutral,Negative,0.892574,0.10490976,0.0025162138,0.892574,False
"#trumptrain #maga #draintheswamp #neverRomney Okee Dokee, I just jumped off the Mitchell train. Oh well, I can't to…",1,Neutral,Negative,0.8718923,0.11906896,0.009038865,0.8718923,False
City bankers’ skills will serve them well after Brexit via @USER what is it about bankers? The special ones? Rubbish,0,Negative,Positive,0.06700404,0.4294462,0.50354975,0.50354975,False
It'll be a blue Christmas. #StillWithHer,0,Negative,Positive,0.00088300405,0.027403254,0.97171366,0.97171366,False
6 Phones to Consider If You Really Wanted the Galaxy Note 7 via @USER,1,Neutral,Positive,0.0015357216,0.35953218,0.63893217,0.63893217,False
"@USER FTR, again I was a democrat for 40 years. That's a long time. So I DO know dems. Alrighty good evening. Take care. Hope ur ok",1,Neutral,Positive,0.002046097,0.06801034,0.92994356,0.92994356,False
Understand now why Melania Trump spoke out against bullying of children & why she wants to stay in NY. Good for her.,1,Neutral,Positive,0.016640129,0.28910807,0.6942518,0.6942518,False
Vaccines should be OPTIONAL because you're the master of your own health and you're not harming others which have agreed to get a vaccine.,1,Neutral,Positive,0.028356548,0.36720106,0.6044424,0.6044424,False
HEADLINE! #Tesla Model S Swallows Christmas Tree!,1,Neutral,Positive,0.0011911395,0.056237467,0.94257134,0.94257134,False
#LindsayLohan Is ‘Feeling Thankful’ After Blasting #ArianaGrande For Wearing ‘#TooMuch…,2,Positive,Neutral,0.04028614,0.5720687,0.3876452,0.5720687,False
Petition to conduct animal testing on rapist instead of innocent animals,1,Neutral,Negative,0.9829846,0.01610259,0.0009127751,0.9829846,False
"See how Eva Longoria, Gwyneth Paltrow and other stars celebrated Thanksgiving",1,Neutral,Positive,0.00077377213,0.21390606,0.78532016,0.78532016,False
"#NeverRomney is not about Calling @USER fraud, or phony. It's about being way on top of the necessary #draintheswamp",0,Negative,Neutral,0.2627643,0.6874036,0.049832024,0.6874036,False
This also renders me speechless .......irony anyone?,1,Neutral,Negative,0.99266076,0.0057500396,0.001589188,0.99266076,False
Even Mexican construction companies want in on the Trump Border Wall action..money to be made. $$,1,Neutral,Positive,0.025557479,0.38785923,0.5865833,0.5865833,False
I AINT KNOW THEY DID GLEN LIKE THAT!!! #TheWalkingDead,0,Negative,Neutral,0.3536199,0.37332737,0.27305272,0.37332737,False
@USER so an inbred neo-nazi wants to play too eh? Do You Dare? @USER @USER @USER @USER @USER,0,Negative,Neutral,0.2127804,0.7758799,0.0113397315,0.7758799,False
Im glad theyre changing the route for the pipelinebut can we just not have it at all? like please we dont need fossil fuels anymore,1,Neutral,Positive,0.09790059,0.43679518,0.46530417,0.46530417,False
HISTORIC speech of PUTIN on NEW WORLD ORDER!! Maybe TRUMP was hired to work for him!! 2016 Share: via @USER,1,Neutral,Negative,0.84757507,0.14163435,0.010790587,0.84757507,False
"You go your way,I'll go your way too-Leonard Cohen",1,Neutral,Positive,0.0013005339,0.48821145,0.51048803,0.51048803,False
Here Comes Trouble - Michael Moore | Politics & Current... #PoliticsampCurrentEvents,1,Neutral,Negative,0.98409593,0.014866541,0.0010375499,0.98409593,False
is news to no person that gets news from sources other than The Sun and other channels promoted by govts.,1,Neutral,Negative,0.77148336,0.22504678,0.0034698446,0.77148336,False
"That's science fiction. Poroshenko can and does give Ukraine's property away, but he's never going to give away any…",1,Neutral,Negative,0.97931415,0.019708637,0.0009772313,0.97931415,False
#Turkey #Yemen Supplies running out for Iraqis left in embattled Mosul,1,Neutral,Negative,0.7144468,0.28079408,0.0047592367,0.7144468,False
SOMA in Google Earth VR. This place is growing,1,Neutral,Positive,0.00095117034,0.014833357,0.98421544,0.98421544,False
"Have you seen the #Hatchimals? These are among the holiday season's most popular, hard-to-find toys:…",1,Neutral,Positive,0.0011052588,0.07786631,0.92102844,0.92102844,False
.@USER joins The #Linux Foundation in coup for #OpenSource community,1,Neutral,Positive,0.00088730134,0.1533871,0.84572554,0.84572554,False
i mentioned animal testing in my class's group chat and suddenly it turned into a debate can we just calm down,1,Neutral,Negative,0.9402118,0.05819497,0.0015932926,0.9402118,False
@USER so you also don't even understand what #BlackLivesMatter actually means and what they represent? Lol you're dismissed kid,1,Neutral,Negative,0.9909294,0.008122564,0.00094800687,0.9909294,False
"I just hope that the samsung smartphone I am getting doesn't end up like the samsung galaxy note 7 disaster.,",0,Negative,Neutral,0.2108215,0.692078,0.097100526,0.692078,False
because fossil fuels are the only resources that allow us to travel 🤔,1,Neutral,Positive,0.0014363257,0.010269918,0.98829377,0.98829377,False
@USER @USER @USER @USER @USER THAN DISGRACERomney #ReStockSwampBREAK PROMISE #DrainTheSwamp.,0,Negative,Positive,0.0058037047,0.49425855,0.49993765,0.49993765,False
@USER lol Grayson Allen would outscore every guard on UK's team,1,Neutral,Positive,0.00978869,0.4705792,0.51963204,0.51963204,False
"@USER @USER @USER @USER Clinton foundation donations drop like a rock when she loses,circle of life is complete!",0,Negative,Positive,0.03400448,0.2907844,0.6752111,0.6752111,False
Vladimir Putin grants action hero Steven Seagal Russian passport,1,Neutral,Positive,0.0012769131,0.12059526,0.8781279,0.8781279,False
limited top speed is the main issue when using a Tesla Model S in a drag race.,1,Neutral,Negative,0.8672489,0.12471187,0.008039296,0.8672489,False
@USER hackers breached voter registration databases in at least two states. She stated that voting irregularities occurred,1,Neutral,Negative,0.9858694,0.0131693855,0.00096128095,0.9858694,False
"#Russia-ns are meeting with terror org of #Hezbollah , #America-ns are meeting with terror org of #PKK , meanwhile #KSA & #Turkey are +",0,Negative,Neutral,0.022246292,0.9730652,0.0046884897,0.9730652,False
".@USER @USER @USER Argued w/a lot of ""swing-state"" Bernie voters who sd their protest vote wouldnt elect Trump",0,Negative,Neutral,0.32401296,0.6619368,0.0140501885,0.6619368,False
@USER @USER seriously guys... I leave you alone for 5 minutes. Just accept Kim Jong-un as your saviour.,0,Negative,Neutral,0.17848316,0.7935179,0.027998935,0.7935179,False
Steve Bannon's Face Was on an Ad on Pornhub How Will I Ever Feel Desire Again: An Autobiography,0,Negative,Neutral,0.39483887,0.5831658,0.02199534,0.5831658,False
"Pence Purges Lobbyists, Insiders From #TrumpTransitionTeam #ChrisChristie...",1,Neutral,Negative,0.96665376,0.03220294,0.0011432236,0.96665376,False
and now fire in #Jerusalem area #fbt,1,Neutral,Negative,0.98723525,0.012092842,0.0006719162,0.98723525,False
SURPRISE TOYS #Christmas #ThomasTrainDisney Tsum Tsum Hot Wheels Toy Cars Advent...,1,Neutral,Positive,0.0011489688,0.044429548,0.95442146,0.95442146,False
@USER RACISM?? THAT'S ALL YOU GOT? UR THE RACIST! U DEMS R SCUM! EVERY BROKEN DOWN CITY IS RUN BY U LIBER…,0,Negative,Neutral,0.121980615,0.5567192,0.32130015,0.5567192,False
I hate her but... I love her songs Dammit ._.#ArianaGrande,1,Neutral,Positive,0.13401131,0.20373093,0.66225773,0.66225773,False
FCBarcelona: 📷 Great pics from other side of Celtic v FC Barcelona: #FCBlive,1,Neutral,Positive,0.0012362204,0.0046266774,0.99413705,0.99413705,False
#LoneStarGunRights Texas Gun Store Owner Appeared With Gun Control Group - But Why?. Read Blog:,1,Neutral,Negative,0.5271929,0.46849623,0.0043109474,0.5271929,False
shitty but litty thanksgiving w mel 💘 @USER,0,Negative,Positive,0.0013653885,0.02833215,0.9703024,0.9703024,False
Thanksgiving & Standing Rock | Just A Skinny Boy #world #share #nativeamerica #nativeamerican #thanksgiving #NoDAPL,1,Neutral,Positive,0.0030176188,0.49595863,0.5010237,0.5010237,False
I've created a quiz. #OneDirection Singles,2,Positive,Neutral,0.0014251309,0.98018515,0.018389653,0.98018515,False
'Long Live Fidel!': Castro's Ashes Interred in Cuba,2,Positive,Neutral,0.0038855388,0.85281837,0.14329617,0.85281837,False
"deep learning people, you can translate and read lips, I have hard time typing cause it hurts. can I get ""voice to python"" as a vim plugin?",0,Negative,Neutral,0.13716969,0.5368513,0.32597905,0.5368513,False
"@USER that last message is for Pope Francis, he cannot answer the 4 cardinals, he knows Amoris Laetitia is of the Devil",0,Negative,Neutral,0.23672748,0.6946066,0.06866602,0.6946066,False
"OTD in 1944 the War Dept published a list of 1,718 Americans wounded fighting ""alt-rightists,"" including these 56…",1,Neutral,Negative,0.9654111,0.03362073,0.00096815714,0.9654111,False
#Israeli Occupation shot dead a #Palestinian at the Shufat Checkpoint in Occupied #Jerusalem. Victim has not been …,1,Neutral,Negative,0.9928549,0.0064642536,0.0006809177,0.9928549,False
@USER @USER need a grassroots effort to move more conservatives to CA! Reclaim the beautiful state.,1,Neutral,Positive,0.0035266571,0.15475279,0.8417205,0.8417205,False
@USER #NationalFastFoodDay give me food plz!!!,1,Neutral,Positive,0.0009984556,0.019463137,0.9795384,0.9795384,False
Mah Stuff. #TheWalkingDead,2,Positive,Neutral,0.15595375,0.82654977,0.017496472,0.82654977,False
"North Korea is literally begging China to stop calling Kim Jong Un ""Kim Fatty the Third."" Politics at its finest.",1,Neutral,Negative,0.97475624,0.022935491,0.0023083691,0.97475624,False
For no reason because animal testing doesn't translate to humans anyway,1,Neutral,Negative,0.97125274,0.027545555,0.0012016846,0.97125274,False
#GilmoreGirlsTop4 1. Luke 2 Jess 3 Sookie 4 kirk,2,Positive,Neutral,0.0011374692,0.9825832,0.016279314,0.9825832,False
I just don't get what's the big deal of using MAC products like I love MAC & I hate the animal testing but YALL need to chill,1,Neutral,Negative,0.9798004,0.017609725,0.0025899436,0.9798004,False
How to #draintheswamp: 1. Take office. 2. Appoint swamp lobbyists & swamp kingpins. 3. Bathe in swamp together. 4. Collect cash & applause.,1,Neutral,Negative,0.94226855,0.054041162,0.0036903108,0.94226855,False
Recent Findings May Lead To Smart-3D printing By 2018 Researchers Find,1,Neutral,Positive,0.00091061933,0.08445206,0.9146373,0.9146373,False
"Trump has tried to illegally invest in Cuba during embargo. Now he wants to make sure he can do it, and Cuba will b…",0,Negative,Neutral,0.2032071,0.78283083,0.013962004,0.78283083,False
"Rock Princess ; Let's Keep This Secret 2 Ourselves ; DON'T Tell Loony Leftists That They Could've Bought , Lots Of…",0,Negative,Neutral,0.12758976,0.8525983,0.019811885,0.8525983,False
Grayson Allen should have gone to the #NBA after last season. His stock wont ever b that high again and that's not a shot at him as a player,1,Neutral,Negative,0.98985136,0.00922345,0.00092520466,0.98985136,False
"Nataf, less than 10 km from #Jerusalem/#ElQuds … #IsraelFires #PalestineBurning #Palestine #Israel",1,Neutral,Negative,0.6425907,0.3538271,0.003582176,0.6425907,False
.@USER #NBAwards acceptance speech has been viewed over 1.6 million times at @USER,1,Neutral,Positive,0.0014898424,0.043983348,0.95452684,0.95452684,False
Why are some vaccines optional? What can be the ill-effects if I don't get my child immunised with optional vaccine…,1,Neutral,Negative,0.962905,0.035903826,0.0011911076,0.962905,False
I can't even imagine how difficult the decision to have an abortion is as the mother...,1,Neutral,Negative,0.9243885,0.07150777,0.004103649,0.9243885,False
I intend to cook mexican gray wolf as my mind turns to vegetarianism.,1,Neutral,Positive,0.001415961,0.36305016,0.6355339,0.6355339,False
Does This Ass Make My Car Look Fat? #p2 #ctl #ImStillWithHer…,1,Neutral,Negative,0.91442794,0.082058616,0.0035134966,0.91442794,False
#Aleppo : Opposition killed 80 militiamen during violent battles for the village of #Al_Aziza.,1,Neutral,Negative,0.99453074,0.004719362,0.00074992754,0.99453074,False
zac efron poses nude #lovely libra porn,1,Neutral,Positive,0.0017495187,0.006424245,0.9918262,0.9918262,False
Voter Suppression/FraudFake NewsRussian HackersFBI Witch HuntWiki DNC Attack.. And Hillary still won the popular vote#Resistance,1,Neutral,Negative,0.9683585,0.029459978,0.0021815842,0.9683585,False
"That's great, but who purchased those shares? Shifting responsibility doesn't solve the problem. #NoDAPL",2,Positive,Negative,0.90602225,0.08683975,0.007138064,0.90602225,False
@USER @USER Purge the voter registration records,1,Neutral,Negative,0.8108476,0.18330272,0.0058496776,0.8108476,False
"@USER @USER We all hope you join her soon,Out of Office.",1,Neutral,Positive,0.0019428534,0.10621089,0.8918463,0.8918463,False
#Iraqiforces seized #Qaratapa south east of #mosul#MosulOperation #mosulop#mosulops#mosuloffensive#IRAQ#ISIS…,1,Neutral,Negative,0.8804024,0.11827479,0.0013228377,0.8804024,False
Australia Cuts Clinton Foundation Donations To $0 | Zero Hedge #FidelCastro Hillary only has the Saudis as contrib,0,Negative,Neutral,0.4188961,0.574041,0.007062865,0.574041,False
"@USER @USER DJT proposes to add a couple more trillion to that debt load. And gut ACA, Medicare, Medicaid..",1,Neutral,Negative,0.99199075,0.007213469,0.0007956852,0.99199075,False
Find yourself a physics prof who could pass as a 3 time cy young winner.,1,Neutral,Positive,0.0022174697,0.0639916,0.9337909,0.9337909,False
The #Westworld need to learn much from east culture.,2,Positive,Neutral,0.011888946,0.96940506,0.018706013,0.96940506,False
Cy Young: The Greatest Pitcher Baseball has Ever Seen #Pitcher #Baseball,1,Neutral,Positive,0.0016135122,0.0032780692,0.9951084,0.9951084,False
"Video: #Saudi military vehicle burns and artillery explodes in it after being targeted by #Houthis in #Assir, south…",1,Neutral,Negative,0.9872959,0.011981702,0.0007223968,0.9872959,False
#jerusalem is now trending in Malaysia[URL],2,Positive,Neutral,0.0012022665,0.9777263,0.021071423,0.9777263,False
"@USER @USER @USER @USER It's only a small left fringe that does, not the actual mainstream left, unlike main rightists",0,Negative,Neutral,0.0387432,0.94965357,0.01160323,0.94965357,False
This is no time to go after consumer agency! via @USER @USER,1,Neutral,Negative,0.9836585,0.014965145,0.0013764414,0.9836585,False
"Marion Maréchal-Le Pen, niece of FN president Marine Le Pen, met Poklonskaya at Russia's State Duma and was invited…",2,Positive,Neutral,0.001919415,0.7764104,0.22167017,0.7764104,False
Five-year-olds caged to clean up streets for Pope Francis via @USER,0,Negative,Positive,0.032372307,0.47847033,0.48915738,0.48915738,False
